country,iso3,year,gdp_per_capita_current_usd,consfirstaug,indcent,independence_year,log_settler_mortality,log_pop_density_1500,madid,percent_catholic,percent_muslim,percent_protestant,growth,democ,world,former_colony,wealth_20,gini_index,population,gdp_per_capita,poverty_headcount,continent,lifeExp,pop,gdpPercap,iso_num,years_since_independence,malaria_prevalence,gdp,capital_health_expenditure,current_health_expenditure_(che)_as_percent_gross_domestic_product_(gdp),domestic_general_government_health_expenditure_(gghe-d)_as_percent_gross_domestic_product_(gdp),external_health_expenditure_(ext)_per_capita_in_usdollars,external_sources_of_spending_on_malaria,external_sources_of_spending_on_injuries,public_domestic_sources_of_spending_on_malaria,malaria_prevalence_2001,malaria_prevalence_2001_high,malaria_reduction,malaria_reduction_relative,malaria_reduction_relative_lag,gdp_growth,gdp_growth_relative,gdp_growth_relative_lag,temp,prcp,max,min,stations
Angola,AGO,1960,NA,0.3333333,19.75,1975,5.634789,0.4054651,2011,0.687,0,0.198,0.6444693,0.35,1,TRUE,NA,NA,5643182,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30579189319310557,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,BDI,1960,70.3490786064852,0.1481481,19.62,1962,5.634789,3.218876,2011,0.7830001,0.009,0.049,0.3280602,0.45,1,TRUE,NA,NA,2786106,70.3490786064852,NA,NA,NA,NA,NA,NA,-2,NA,70.3490786064852,NA,NA,NA,NA,NA,NA,NA,0.4578495193685951,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,BEN,1960,93.0225089907107,0.125,19.6,1960,5.585449,1.442202,2011,0.185,0.152,0.028,1.161583,0.8,1,TRUE,NA,NA,2431622,93.0225089907107,NA,NA,NA,NA,NA,NA,0,NA,93.0225089907107,NA,NA,NA,NA,NA,NA,NA,0.46086382614134885,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,BFA,1960,68.424748569325,0.2,19.6,1960,5.634789,1.442202,2011,0.09,0.43,0.016,0.722393,0.35,1,TRUE,NA,NA,4829288,68.424748569325,NA,NA,NA,NA,NA,NA,0,NA,68.424748569325,NA,NA,NA,NA,NA,NA,NA,0.6615594834144378,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,BWA,1960,57.9776818816842,0.6666667,19.66,1966,NA,-1.966113,2011,0.094,0,0.268,2.351604,0.95,1,TRUE,NA,NA,524552,57.9776818816842,NA,NA,NA,NA,NA,NA,-6,NA,57.9776818816842,NA,NA,NA,NA,NA,NA,NA,0.01967394702160172,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,1960,74.5959442514248,0,19.6,1960,5.634789,0.4054651,2011,0.331,0.032,0.5,0.4462757,0.75,1,TRUE,NA,NA,1503508,74.5959442514248,NA,NA,NA,NA,NA,NA,0,NA,74.5959442514248,NA,NA,NA,NA,NA,NA,NA,0.4720384147761989,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,CIV,1960,153.471594052014,0,19.6,1960,6.504288,1.442202,2011,0.185,0.24,0.047,1.164257,0.7,1,TRUE,NA,NA,3558988,153.471594052014,NA,NA,NA,NA,NA,NA,0,NA,153.471594052014,NA,NA,NA,NA,NA,NA,NA,0.6991508870347287,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,CMR,1960,119.534187181074,0.3333333,19.6,1960,5.634789,0.4054651,2011,0.35,0.22,0.181,0.9904609,0.3,1,TRUE,NA,NA,5176268,119.534187181074,NA,NA,NA,NA,NA,NA,0,NA,119.534187181074,NA,NA,NA,NA,NA,NA,NA,0.535108060575894,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Dem. Rep.",COD,1960,220.314063056673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15248251,220.314063056673,NA,NA,NA,NA,NA,NA,NA,NA,220.314063056673,NA,NA,NA,NA,NA,NA,NA,0.6465583072116257,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.",COG,1960,127.004745925645,0.3833333,19.6,1960,5.480639,0.4054651,2011,0.539,0.004,0.249,1.676822,0.2,1,TRUE,NA,NA,1037220,127.004745925645,NA,NA,NA,NA,NA,NA,0,NA,127.004745925645,NA,NA,NA,NA,NA,NA,NA,0.5038676398711438,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,COM,1960,NA,0.3166667,19.75,1975,NA,1.500584,2011,0.001,0.997,0.001,0.3387346,0.45,1,TRUE,NA,NA,191121,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,1960,NA,0.1666667,19.77,1977,3.258096,NA,2011,0.067,0.906,0.002,0.9795089,0.6,1,TRUE,NA,NA,83636,NA,NA,NA,NA,NA,NA,NA,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028603989431781038,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
