Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Albania,ALB,..,..,0.4,..,..,..,1.1,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Algeria,DZA,..,..,..,..,..,0.5,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Angola,AGO,..,..,30.1,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Argentina,ARG,..,5.7,2.6,2.6,1.1,0.9,0.8,0.8,0.7,..,0.6,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Armenia,ARM,..,..,1.4,1.9,1.9,2.2,1.6,2.2,2.3,1.9,1.8,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Australia,AUS,..,..,0.4,..,0.3,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Austria,AUT,..,..,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.7,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Bangladesh,BGD,..,34.8,..,..,19.6,..,..,..,..,..,14.8,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Belarus,BLR,..,7.1,0,0,0,0,0,0,0,0,0,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Belgium,BEL,..,..,0,0,0.2,0.2,0.2,0.2,0,0,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Benin,BEN,..,..,..,..,..,53.1,..,..,..,49.6,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Bhutan,BTN,..,..,..,..,..,..,2.2,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Bolivia,BOL,7.1,28.6,11.1,10.5,..,7.3,8.2,6.9,5.8,6.4,7.1,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Bosnia and Herzegovina,BIH,..,..,..,..,..,0.1,..,..,..,0.2,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Botswana,BWA,..,..,..,18.2,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Brazil,BRA,21.6,..,5.6,5.4,..,4.7,3.8,3.8,2.8,3.4,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Bulgaria,BGR,..,..,1.2,1.2,2,2.2,2,1.7,1.5,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Burkina Faso,BFA,..,..,..,55.3,..,..,..,..,43.7,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Burundi,BDI,..,..,..,..,..,..,..,71.7,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Cameroon,CMR,..,..,..,..,..,..,..,..,23.8,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Canada,CAN,..,0.3,..,..,0.4,..,..,0.3,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Central African Republic,CAF,..,..,66.3,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Chad,TCD,..,..,..,..,..,38.4,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Chile,CHL,7.9,4.3,..,2.6,..,1.6,..,0.9,..,1.3,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,China,CHN,66.6,..,14.7,..,11.2,7.9,6.5,1.9,1.4,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Colombia,COL,..,16.4,10.4,9,7.8,6.4,6.3,5.7,5,4.5,4.5,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Comoros,COM,..,..,..,..,..,..,..,18.1,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,77.1,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,"Congo, Rep.",COG,..,..,..,..,..,37,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Costa Rica,CRI,9.9,6.5,2.2,2.4,1.5,1.6,1.6,1.6,1.4,1.5,1.3,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Cote d'Ivoire,CIV,..,..,29.1,..,..,..,..,..,..,28.2,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Croatia,HRV,..,..,..,1,1.2,0.7,0.7,0.7,1,0.7,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Cyprus,CYP,..,..,0,0,0,0,0,0,0,0,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Czech Republic,CZE,..,..,0,0,0,0,0,0,0,0,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Denmark,DNK,..,..,0.2,0.5,0,0,0,0.2,0.2,0.2,..,..
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Djibouti,DJI,..,..,..,..,..,..,18.3,22.5,..,..,..,..
